SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
0;-1.338983740020092;0.665446043027766;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
1;-1.6161881435953902;-0.8755943228594317;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-1.0617793364447936;-0.5649059252686971;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;0.7862500207238616;1.0374775662408464;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;-0.045363190002033205;0.4799427309786993;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
1;0.23184121357326506;3.4020260848656214;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
1;-0.876976400727928;0.14079710110607388;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.04703827785639956;0.22603854321472894;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1;1.1558558921575928;-0.4152809377552298;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;0.9710529564407272;1.0516547660382325;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;-0.7845749328694953;0.4196484987649608;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;-0.41496906143576423;0.37169418900542717;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0.7862500207238616;-0.1326144474042512;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-1.1541808043032262;-0.4988119295014827;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-1.0617793364447936;-0.32135356134130955;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-0.13776465786046596;0.23140640948230803;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0.9710529564407272;0.07708539592376845;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;-1.1541808043032262;-0.046313828618276896;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-1.6161881435953902;-0.24689584035513437;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.5090456171485633;0.006219963474261554;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-0.9693778685863608;0.4727273040992268;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0.23184121357326506;-0.3236090249454393;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.6921734650110625;-0.5564222285814314;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
0;-0.5997719971526297;0.22150019395657158;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-1.338983740020092;-0.33833809349702726;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.5090456171485633;-0.38333082186755196;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
0;-1.8933925471706885;-0.8591959370202887;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-1.246582272161659;-0.1326144474042512;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
1;-0.3225675935773315;1.2228574790653712;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;-1.1541808043032262;-0.5352112729851487;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1.06345442429916;0.5284694760298585;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;-1.0617793364447936;-0.07333140328051033;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-1.8009910793122557;-0.4982394942098571;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
